Brand,model,kmDriven,Transmission,Owner,FuelType,Car_Age
Renault,KWID,48123.0,Automatic,second,Petrol,8
Tata,Hexa,97000.0,Automatic,first,Diesel,9
Hyundai,i20 Active,42000.0,Manual,second,Petrol,11
Maruti Suzuki,800,68000.0,Manual,second,Petrol,40
Honda,Civic,143000.0,Automatic,second,Hybrid/CNG,16
Maruti Suzuki,Wagon-R,50000.0,Automatic,first,Petrol,8
Hyundai,New Elantra,86000.0,Manual,second,Diesel,12
Mahindra,Scorpio,90000.0,Manual,first,Diesel,10
Maruti Suzuki,Wagon-R,39000.0,Manual,second,hybrid,5
Honda,City,88000.0,Automatic,second,Petrol,10
Mahindra,Scorpio Classic,5000.0,Automatic,first,Hybrid/CNG,2
Hyundai,Elite i20,64259.0,Manual,second,Hybrid/CNG,6
Volkswagen,Passat,78000.0,Manual,second,Petrol,16
Honda,Amaze,56000.0,Manual,first,hybrid,8
Mercedes-Benz,GLS,70000.0,Automatic,first,Petrol,9
Renault,KWID,55000.0,Automatic,second,Petrol,9
Hyundai,Grand i10 Nios,20121.0,Manual,second,Petrol,5
Mahindra,Scorpio Classic,11000.0,Manual,first,Diesel,4
Chevrolet,Spark,90450.0,Automatic,second,Hybrid/CNG,15
Chevrolet,Cruze,78000.0,Automatic,second,Diesel,10
Maruti Suzuki,Celerio,46263.0,Automatic,second,Petrol,10
Hyundai,Verna,44000.0,Automatic,first,Petrol,3
Maruti Suzuki,Baleno,65322.0,Manual,second,Petrol,7
Toyota,Innova Crysta,138625.0,Manual,second,Diesel,10
Maruti Suzuki,Swift,33000.0,Automatic,first,Petrol,4
Tata,Tiago,120000.0,Manual,first,Diesel,9
Hyundai,i10,170000.0,Manual,second,Petrol,17
Honda,Amaze,49851.0,Automatic,second,hybrid,12
Honda,Amaze,35000.0,Automatic,second,Petrol,12
Hyundai,i20,62000.0,Manual,first,Petrol,12
Maruti Suzuki,Swift,65000.0,Manual,second,hybrid,14
Maruti Suzuki,Alto-800,100000.0,Manual,second,Petrol,13
Skoda,Superb,55000.0,Automatic,first,Petrol,10
Maruti Suzuki,Ertiga,65000.0,Manual,second,hybrid,5
Maruti Suzuki,maruti-suzuki-dzire,90000.0,Manual,first,Diesel,12
Hyundai,Venue,92000.0,Manual,first,Diesel,6
Kia,Seltos,54000.0,Manual,first,Petrol,5
Maruti Suzuki,Wagon-R,62125.0,Manual,second,Hybrid/CNG,10
Hyundai,Verna,51000.0,Manual,second,Petrol,8
Skoda,Rapid,135000.0,Automatic,second,hybrid,13
Honda,Jazz,95000.0,Automatic,first,Hybrid/CNG,11
Maruti Suzuki,Swift,54268.0,Manual,first,Petrol,13
Maruti Suzuki,Eeco,35000.0,Automatic,second,hybrid,3
Hyundai,Accent,102000.0,Manual,first,Petrol,18
Honda,Brio,54000.0,Manual,first,Petrol,13
Hyundai,Santro,20000.0,Automatic,first,Petrol,7
Hyundai,Grand i10,170000.0,Manual,second,Diesel,10
Maruti Suzuki,XL6,65000.0,Manual,first,Petrol,7
Toyota,Innova Crysta,58000.0,Automatic,second,Diesel,9
Maruti Suzuki,Ciaz,75000.0,Automatic,second,Hybrid/CNG,6
Mercedes-Benz,GLS,88927.0,Automatic,first,Petrol,9
Hyundai,Grand i10,70000.0,Manual,first,Hybrid/CNG,10
Datsun,GO Plus,50002.0,Manual,first,Petrol,8
